id,milestone,item,priority,status,ref,note
PLN-014,M6,PHY-05 rigid unsteady periodic propeller physics case (FR-26 family): synthetic propeller in the Tier 3 matrix with banded reference,P1,done,DLV-007 Section 8; decision 2026-07-21,"Prerequisite of the WP7 coupled pilot: the Tier 3 near-rigid FSI regression judges a stiff synthetic blade against PHY-05, so the rigid baseline must exist first; implement in the session that opens WP6/WP7; needs a licensed machine. Geometry seed delivered 2026-07-21 (HND-022): BladeSpec generic blade in qa/geometry.py (analytic public shape laws, watertight loft, tier 1 tests) and the shareable case 9002 in the research workspace, baseline seeded on 26.120 build 7012026 (CDi -0.0451749 net thrust, per-blade -654 N); PHY-05 wires it into the Tier 3 matrix. Done 2026-07-21 (HND-025): PHY-05 in the Tier 3 matrix with seeded banded references, first measurement bit-identical to the case 9002 baseline, validation 8 pass (with PHY-06 steady-versus-unsteady equivalence in the same run); 26.120-only via the new PhysicsCase versions gate until the unsteady chapters backfill"
PLN-015,v0.2+,Tier 2 probes for the version-sensitive fold: CREATE_BULK_SEPARATION (26.120 4-arg grammar; 26.100 3-arg form and the CREARE versus CREATE sample-spelling question against a live 26.100 install); EXPORT_SURFACE_SECTIONS effect instrument; NEW_CCS_WING_CONTROL_SURFACE (needs a CCS wing prelude); VOLUME_SECTION_BOUNDARY_LAYER on the 26.100 backfill sweep,P2,planned,TSR-725 delta review; HND-020,Statuses stay documented until a committed compat report promotes them; the CREARE question is explicitly unresolvable from the manuals alone (documentation typo versus parser token are independent facts)
PLN-016,M7,Probe-export parser: load EXPORT_PROBE_POINTS output into the farfield (station r psi) dataset keyed by the serialized lattice; then G1-G5 as case-level checks on the isolated-propeller campaign,P1,done,DLV-006 Secs. 2.3 and 5; HND-020,Parser done 2026-07-21 (HND-024): results.parse_probe_points with the sanitized fixture probe_points_26.120.txt cut from the real RPT-004 run; ProbePointsReport.fields() feeds the post/ writers directly; the farfield (station r psi) mapping for the cylindrical lattice remains with the G1-G5 campaign work
PLN-017,M7,Planar probe grids as the controlled volume-section replacement: explicit-frame Cartesian grids with element-size or cosine/geometric distributions; trimesh geometry gate (containment culling plus two-level BL band refinement) behind the [geom] extra; pre-processing fsm-to-obj export through the executor; VTK/Tecplot probe-data writers opening post/,P1,done,Geovana's instruction 2026-07-21; approved plan (HND-023),"Done 2026-07-21 (HND-023): probes/planar.py and probes/geometry.py; run.export_surface_mesh; post/writers.py with byte-exact goldens; helpers.coordinate_frame; RPT-003 license evidence; 36 new tier 1 tests, suite 265; smoke on the QA wing STL (1275 base, 35 culled, 388 band nodes)"
PLN-018,M7,Tier 2 probe of the planar flow on a licensed machine: real fsm-to-obj export via EXPORT_SURFACE_MESH; PROBE_POINTS_IMPORT of a culled planar csv; solve; EXPORT_PROBE_POINTS; verify row order against the PlannedProbes contract and seed the PLN-016 parser fixture,P1,done,SRC-003 pp.307-308 and pp.361-363; HND-023,"Done 2026-07-21 (HND-024, reports/RPT-004): 1628-probe round trip on 26.120 build 7012026 through the library's own code paths; count and row order preserved exactly (row-aligned mismatch 3.3e-4 within the 4-digit export format, shuffled reference 2.0e+3); side findings: viscous coupling defaults on so BL columns need SET_SOLVER_VISCOUS_COUPLING DISABLE for the DLV-006 inert assertion, and strict-interior culling keeps on-surface points (one zero-velocity probe on the leading edge; standoff margin recorded as an option)"
PLN-019,M6,Tier 2 validity sweep for the FSI families: probe specs for the eleven aeroelastic_coupling.yaml commands (verified) and the SET_MOTION_FSI pair (broken on RPT-005 evidence); promotion via apply-compat,P2,planned,reports/RPT-005_fsi-dry-run_2026-07-21.md,The WP1 dry run exercised the whole aeroelastic family successfully on 26.120 build 7012026 and recorded the SET_MOTION_FSI pair as unrecognized with manual-exact grammar; statuses stay documented until the formal sweep per invariant 3; 26.100 unprobed for the family
PLN-020,v0.2+,Soft-blade coupled pilot: beta(r) projection of loads and node embedding for twisted blades (export axes are axial/in-plane per RPT-006 finding 3); stiffness scale 1; relaxation tuning; deliberate elastic-axis-offset sign confirmation; frozen replay of a substantive deformation; then Tier 3 registration of the near-rigid regression,P1,blocked,reports/RPT-006_wp7-nearrigid-pilot_2026-07-21.md,"Embedding and projection delivered 2026-07-21 (commit 5e47df6): station triads, rotor-frame loads projection, moment sign corroborated by the soft pilot response (tip twist -1.03 deg nose-down, flap +4.9 mm suction-side, phase 4 in-solver, frozen replay to 5e-6). Two-way validation solver-blocked: RPT-007 shows build 7012026 drops FSIDisp morphing on rotary-motion boundaries while the motionless wing control morphs with the same commands; awaiting the vendor question / a fixed build. Interim option: static-wing two-way pilot"
PLN-021,v0.3+,Fix the published package identity: derive __version__ from installed metadata (importlib.metadata with a source-tree fallback) and rewrite the stale M0 package docstring,P1,planned,HND-034,"Found through the first-outside-user lens in the usage-notes triage: pyflightstream 0.2.0 from PyPI answers __version__ 0.0.1.dev0 (hardcoded in src/pyflightstream/__init__.py, never bumped since M0) and help(pyflightstream) opens with 'Milestone M0: skeleton only'; release vehicle decided 2026-07-22 (stage-3 review, question 7): no 0.2.1 patch, the fix ships with v0.3.0 inside the WS-E help workstream"
PLN-022,v0.3+,Usage-feedback implementation line: two-level help (library overview plus manual-coverage section); workspace as architecture (input-artifact library referenced by id, naming templates, init, campaign pre-flight and resume); entity label registry; solver-setup provenance snapshot with script regeneration and the single-entry solver_settings API (all flags available, vorticity mandatory, SOLVER_MINIMUM_CP -100 library default); tabular results layer; matrix as first-class interface resolving REF/SET/ENTRY against the workspace; integrations research (pyvista / meshers; itaca on hold),P1,started,HND-034,"Stage-3 review closed 2026-07-22: all seven triage questions answered (naming template output-only with the manifest as sole authority; matrix first-class with campaign.toml canonical; files renamed to workspace with a deprecation alias; solver_settings becomes the single entry point with vorticity mandatory; itaca on hold; no 0.2.1) plus the session finding that the workspace must organize inputs too, per the author's legacy research workflow (support library of geometry/reference/setup/group/profile artifacts selected by matrix columns); final per-workstream plan in _private/progress/2026-07-22_usage-feedback-plan-final.md; execution order E first (complete help before new requirements), then B/D/G parallel, then A, then C/F; licensed items split to PLN-023"
PLN-023,v0.3+,Licensed-evidence queue of the v0.3 usage line: OBJ export group-name probe (enables the boundary inspector); undocumented solver-flag defaults (manual_ref or explicit unknown); PHY reference re-seed with SOLVER_MINIMUM_CP -100; PHY-07/08 mesh-refinement cases (generic wing and blade); advanced_settings flag cases in the PHY-02/06 pattern,P2,planned,_private plan of 2026-07-22,"Queued for the next licensed sweep together with PLN-012/015/019; each item promotes statuses or seeds references only through committed reports per invariant 3"
